StatementType,Statement_Bucket,Priority_,Pattern_Type,Pattern,SiteID_
Begin/End DBQL                          ,Unknown, 1.00000000000000E 006,Equal,Begin/End DBQL,None
AsyncAbort                              ,Unknown, 1.00000000000000E 006,Equal,AsyncAbort,None
Delete Database                         ,Unknown, 1.00000000000000E 006,Equal,Delete Database,None
Alter Type                              ,Unknown, 1.00000000000000E 006,Equal,Alter Type,None
Alter Procedure                         ,Unknown, 1.00000000000000E 006,Equal,Alter Procedure,None
Set Role                                ,Unknown, 1.00000000000000E 006,Equal,Set Role,None
Alter Function                          ,Unknown, 1.00000000000000E 006,Equal,Alter Function,None
Echo                                    ,Unknown, 1.00000000000000E 006,Equal,Echo,None
Grant/Revoke Logon                      ,Admin,10040,Like,Grant%,Default
UCAbort                                 ,Admin,380,Equal,UCAbort ,Default
Set Query_Band                          ,Admin,350,Equal,Set Query_Band,Default
Dump Database                           ,Admin,210,Equal,Dump Database,Default
Rename Table                            ,Admin,10060,Like,Rename%,Default
Modify Profile                          ,Admin,10050,Like,Modify%,Default
Revoke                                  ,Admin,330,Equal,Revoke,Default
Flush Query Logging                     ,Admin,240,Equal,Flush Query Logging ,Default
Restore                                 ,Admin,320,Equal,Restore,Default
Give                                    ,Admin,250,Equal,Give,Default
Alter Table                             ,Admin,110,Equal,Alter Table ,Default
Rename View                             ,Admin,10060,Like,Rename%,Default
Release Lock                            ,Admin,310,Equal,Release Lock,Default
Modify Database                         ,Admin,10050,Like,Modify%,Default
Alter Table Map                         ,Admin,115,Equal,Alter Table Map,Default
Grant                                   ,Admin,10040,Like,Grant%,Default
Rename Procedure                        ,Admin,10060,Like,Rename%,Default
Grant/Revoke Con Thr                    ,Admin,10040,Like,Grant%,Default
Comment Get/Set                         ,Admin,150,Equal,Comment Get/Set ,Default
Abort                                   ,Admin,100,Equal,Abort ,Default
Collect Statistics                      ,Collect Stats,140,Equal,Collect Statistics,Default
Drop Index                              ,Create/Drop,10030,Like,Drop%,Default
Replace Function                        ,Create/Drop,10070,Like,Replace%,Default
Create View                             ,Create/Drop,10020,Like,Create%,Default
Create Database/User                    ,Create/Drop,10020,Like,Create%,Default
Replace External SP                     ,Create/Drop,10070,Like,Replace%,Default
Drop Join Index                         ,Create/Drop,10030,Like,Drop%,Default
Drop Profile                            ,Create/Drop,10030,Like,Drop%,Default
Create Type                             ,Create/Drop,10020,Like,Create%,Default
Replace Macro                           ,Create/Drop,10070,Like,Replace%,Default
Create Macro                            ,Create/Drop,10020,Like,Create%,Default
Drop Type                               ,Create/Drop,10030,Like,Drop%,Default
Create Role                             ,Create/Drop,10020,Like,Create%,Default
Drop View                               ,Create/Drop,10030,Like,Drop%,Default
Create Function                         ,Create/Drop,10020,Like,Create%,Default
Drop Procedure                          ,Create/Drop,10030,Like,Drop%,Default
Drop Authorization                      ,Create/Drop,10030,Like,Drop%,Default
Create Server                           ,Create/Drop,10020,Like,Create%,Default
Create Map                              ,Create/Drop,10020,Like,Create%,Default
Replace View                            ,Create/Drop,10070,Like,Replace%,Default
Replace Authorizatio                    ,Create/Drop,10070,Like,Replace%,Default
Drop Server                             ,Create/Drop,10030,Like,Drop%,Default
Drop Table                              ,Create/Drop,10030,Like,Drop%,Default
Replace Procedure                       ,Create/Drop,10070,Like,Replace%,Default
Create Table                            ,Create/Drop,10020,Like,Create%,Default
Create Authorization                    ,Create/Drop,10020,Like,Create%,Default
Drop Function                           ,Create/Drop,10030,Like,Drop%,Default
Drop Macro                              ,Create/Drop,10030,Like,Drop%,Default
Create Procedure                        ,Create/Drop,10020,Like,Create%,Default
Drop Statistics                         ,Create/Drop,10030,Like,Drop%,Default
Drop Role                               ,Create/Drop,10030,Like,Drop%,Default
Create Join Index                       ,Create/Drop,10020,Like,Create%,Default
Create Index                            ,Create/Drop,10020,Like,Create%,Default
Drop Database                           ,Create/Drop,10030,Like,Drop%,Default
Create Profile                          ,Create/Drop,10020,Like,Create%,Default
Insert                                  ,Insert,270,Equal,Insert,Default
CheckPoint Loading                      ,Load,10000,Like,%load%,Default
Begin Delete Mload                      ,Load,10000,Like,%load%,Default
End Loading                             ,Load,10000,Like,%load%,Default
Check Workload                          ,Load,10000,Like,%load%,Default
Commit Work                             ,Load,160,Equal,Commit Work ,Default
Begin Mload                             ,Load,10000,Like,%load%,Default
Execute Mload                           ,Load,10000,Like,%load%,Default
Release Mload                           ,Load,10000,Like,%load%,Default
Begin Loading                           ,Load,10000,Like,%load%,Default
Check Point                             ,Load,130,Equal,Check Point,Default
Mload                                   ,Load,10000,Like,%load%,Default
Exec                                    ,Macro,230,Equal,Exec,Default
Update                                  ,Merge/Update/Delete,400,Equal,Update,Default
Delete                                  ,Merge/Update/Delete,190,Equal,Delete,Default
Merge Into                              ,Merge/Update/Delete,280,Equal,Merge Into,Default
End Edit                                ,Other,220,Equal,End Edit,Default
Null                                    ,Other,300,Equal,Null,Default
Database                                ,Other,180,Equal,Database,Default
Set Time Zone                           ,Other,365,Equal,Set Time Zone,Default
Not Applicable                          ,Other,290,Equal,Not Applicable,Default
Set Session                             ,Other,360,Equal,Set Session ,Default
Unrecognized type                       ,Other,390,Equal,Unrecognized type ,Default
Help                                    ,Other,260,Equal,Help,Default
End Transaction                         ,Other,10010,Like,%Transaction%,Default
Begin Transaction                       ,Other,10010,Like,%Transaction%,Default
Show                                    ,Other,370,Equal,Show,Default
Select                                  ,Select,340,Equal,Select,Default
Call                                    ,Stored Proc,120,Equal,Call,Default
